clientReference,accountReference,effectiveDateTime
30469,330469,2022-11-17
30470,330470,2022-11-16
30471,330471,2022-11-15
30472,330472,2022-11-14
30473,330473,2022-11-13
30474,330474,2022-11-12
30475,330475,2022-11-11
30476,330476,2022-11-10
30477,330477,2022-11-09
30478,330478,2022-11-08
30479,330479,2022-11-07
30480,330480,2022-11-06
30481,330481,2022-11-05
30482,330482,2022-11-04
30483,330483,2022-11-03
30484,330484,2022-11-02
30485,330485,2022-11-01
30486,330486,2022-10-31
30487,330487,2022-10-30
30488,330488,2022-10-29
30489,330489,2022-10-28
30490,330490,2022-10-27
30491,330491,2022-10-26
30492,330492,2022-10-25
30493,330493,2022-10-24
30494,330494,2022-10-23
30495,330495,2022-10-22
30496,330496,2022-10-21
30497,330497,2022-10-20
30498,330498,2022-10-19
30499,330499,2022-10-18
30500,330500,2022-10-17
30501,330501,2022-10-16
30502,330502,2022-10-15
30503,330503,2022-10-14
30504,330504,2022-10-13
30505,330505,2022-10-12
30506,330506,2022-10-11
30507,330507,2022-10-10
30508,330508,2022-10-09
30509,330509,2022-10-08
30510,330510,2022-10-07
30511,330511,2022-10-06
30512,330512,2022-10-05
30513,330513,2022-10-04
30514,330514,2022-10-03
30515,330515,2022-10-02
30516,330516,2022-10-01
30517,330517,2022-09-30
30518,330518,2022-09-29
30519,330519,2022-09-28
30520,330520,2022-09-27
30521,330521,2022-09-26
30522,330522,2022-09-25
30523,330523,2022-09-24
30524,330524,2022-09-23
30525,330525,2022-09-22
30526,330526,2022-09-21
30527,330527,2022-09-20
30528,330528,2022-09-19
30529,330529,2022-09-18
30530,330530,2022-09-17
30531,330531,2022-09-16
30532,330532,2022-09-15
30533,330533,2022-09-14
30534,330534,2022-09-13
30535,330535,2022-09-12
30536,330536,2022-09-11
30537,330537,2022-09-10
30538,330538,2022-09-09
30539,330539,2022-09-08
30540,330540,2022-09-07
30541,330541,2022-09-06
30542,330542,2022-09-05
30543,330543,2022-09-04
30544,330544,2022-09-03
30545,330545,2022-09-02
30546,330546,2022-09-01
30547,330547,2022-08-31
30548,330548,2022-08-30
30549,330549,2022-08-29
30550,330550,2022-08-28
30551,330551,2022-08-27
30552,330552,2022-08-26
30553,330553,2022-08-25
30554,330554,2022-08-24
30555,330555,2022-08-23
30556,330556,2022-08-22
30557,330557,2022-08-21
30558,330558,2022-08-20
30559,330559,2022-08-19
30560,330560,2022-08-18
30561,330561,2022-08-17
30562,330562,2022-08-16
30563,330563,2022-08-15
30564,330564,2022-08-14
30565,330565,2022-08-13
30566,330566,2022-08-12
30567,330567,2022-08-11
30568,330568,2022-08-10
30569,330569,2022-08-09
30570,330570,2022-08-08
30571,330571,2022-08-07
30572,330572,2022-08-06
30573,330573,2022-08-05
30574,330574,2022-08-04
30575,330575,2022-08-03
30576,330576,2022-08-02
30577,330577,2022-08-01
30578,330578,2022-07-31
30579,330579,2022-07-30
30580,330580,2022-07-29
30581,330581,2022-07-28
30582,330582,2022-07-27
30583,330583,2022-07-26
30584,330584,2022-07-25
30585,330585,2022-07-24
30586,330586,2022-07-23
30587,330587,2022-07-22
30588,330588,2022-07-21
30589,330589,2022-07-20
30590,330590,2022-07-19
30591,330591,2022-07-18
30592,330592,2022-07-17
30593,330593,2022-07-16
30594,330594,2022-07-15
30595,330595,2022-07-14
30596,330596,2022-07-13
30597,330597,2022-07-12
30598,330598,2022-07-11
30599,330599,2022-07-10
30600,330600,2022-07-09
30601,330601,2022-07-08
30602,330602,2022-07-07
30603,330603,2022-07-06
30604,330604,2022-07-05
30605,330605,2022-07-04
30606,330606,2022-07-03
30607,330607,2022-07-02
30608,330608,2022-07-01
30609,330609,2022-06-30
30610,330610,2022-06-29
30611,330611,2022-06-28
30612,330612,2022-06-27
30613,330613,2022-06-26
30614,330614,2022-06-25
30615,330615,2022-06-24
30616,330616,2022-06-23
30617,330617,2022-06-22
30618,330618,2022-06-21
30619,330619,2022-06-20
30620,330620,2022-06-19
30621,330621,2022-06-18
30622,330622,2022-06-17
30623,330623,2022-06-16
30624,330624,2022-06-15
30625,330625,2022-06-14
30626,330626,2022-06-13
30627,330627,2022-06-12
30628,330628,2022-06-11
30629,330629,2022-06-10
30630,330630,2022-06-09
30631,330631,2022-06-08
30632,330632,2022-06-07
30633,330633,2022-06-06
30634,330634,2022-06-05
30635,330635,2022-06-04
30636,330636,2022-06-03
30637,330637,2022-06-02
30638,330638,2022-06-01
30639,330639,2022-05-31
30640,330640,2022-05-30
30641,330641,2022-05-29
30642,330642,2022-05-28
30643,330643,2022-05-27
30644,330644,2022-05-26
30645,330645,2022-05-25
30646,330646,2022-05-24
30647,330647,2022-05-23
30648,330648,2022-05-22
30649,330649,2022-05-21
30650,330650,2022-05-20
30651,330651,2022-05-19
30652,330652,2022-05-18
30653,330653,2022-05-17
30654,330654,2022-05-16
30655,330655,2022-05-15
30656,330656,2022-05-14
30657,330657,2022-05-13
30658,330658,2022-05-12
30659,330659,2022-05-11
30660,330660,2022-05-10
30661,330661,2022-05-09
30662,330662,2022-05-08
30663,330663,2022-05-07
30664,330664,2022-05-06
30665,330665,2022-05-05
30666,330666,2022-05-04
30667,330667,2022-05-03
30668,330668,2022-05-02
30669,330669,2022-05-01
30670,330670,2022-04-30
30671,330671,2022-04-29
30672,330672,2022-04-28
30673,330673,2022-04-27
30674,330674,2022-04-26
30675,330675,2022-04-25
30676,330676,2022-04-24
30677,330677,2022-04-23
30678,330678,2022-04-22
30679,330679,2022-04-21
30680,330680,2022-04-20
30681,330681,2022-04-19
30682,330682,2022-04-18
30683,330683,2022-04-17
30684,330684,2022-04-16
30685,330685,2022-04-15
30686,330686,2022-04-14
30687,330687,2022-04-13
30688,330688,2022-04-12
30689,330689,2022-04-11
30690,330690,2022-04-10
30691,330691,2022-04-09
30692,330692,2022-04-08
30693,330693,2022-04-07
30694,330694,2022-04-06
30695,330695,2022-04-05
30696,330696,2022-04-04
30697,330697,2022-04-03
30698,330698,2022-04-02
30699,330699,2022-04-01
30700,330700,2022-03-31
30701,330701,2022-03-30
30702,330702,2022-03-29
30703,330703,2022-03-28
30704,330704,2022-03-27
30705,330705,2022-03-26
30706,330706,2022-03-25
30707,330707,2022-03-24
30708,330708,2022-03-23
30709,330709,2022-03-22
30710,330710,2022-03-21
30711,330711,2022-03-20
30712,330712,2022-03-19
30713,330713,2022-03-18
30714,330714,2022-03-17
30715,330715,2022-03-16
30716,330716,2022-03-15
30717,330717,2022-03-14
30718,330718,2022-03-13
30719,330719,2022-03-12
30720,330720,2022-03-11
30721,330721,2022-03-10
30722,330722,2022-03-09
30723,330723,2022-03-08
30724,330724,2022-03-07
30725,330725,2022-03-06
30726,330726,2022-03-05
30727,330727,2022-03-04
30728,330728,2022-03-03
30729,330729,2022-03-02
30730,330730,2022-03-01
30731,330731,2022-02-28
30732,330732,2022-02-27
30733,330733,2022-02-26
30734,330734,2022-02-25
30735,330735,2022-02-24
30736,330736,2022-02-23
30737,330737,2022-02-22
30738,330738,2022-02-21
30739,330739,2022-02-20
30740,330740,2022-02-19
30741,330741,2022-02-18
30742,330742,2022-02-17
30743,330743,2022-02-16
30744,330744,2022-02-15
30745,330745,2022-02-14
30746,330746,2022-02-13
30747,330747,2022-02-12
30748,330748,2022-02-11
30749,330749,2022-02-10
30750,330750,2022-02-09
30751,330751,2022-02-08
30752,330752,2022-02-07
30753,330753,2022-02-06
30754,330754,2022-02-05
30755,330755,2022-02-04
30756,330756,2022-02-03
30757,330757,2022-02-02
30758,330758,2022-02-01
30759,330759,2022-01-31
30760,330760,2022-01-30
30761,330761,2022-01-29
30762,330762,2022-01-28
30763,330763,2022-01-27
30764,330764,2022-01-26
30765,330765,2022-01-25
30766,330766,2022-01-24
30767,330767,2022-01-23
30768,330768,2022-01-22
30769,330769,2022-01-21
30770,330770,2022-01-20
30771,330771,2022-01-19
30772,330772,2022-01-18
30773,330773,2022-01-17
30774,330774,2022-01-16
30775,330775,2022-01-15
30776,330776,2022-01-14
30777,330777,2022-01-13
30778,330778,2022-01-12
30779,330779,2022-01-11
30780,330780,2022-01-10
30781,330781,2022-01-09
30782,330782,2022-01-08
30783,330783,2022-01-07
30784,330784,2022-01-06
30785,330785,2022-01-05
30786,330786,2022-01-04
30787,330787,2022-01-03
30788,330788,2022-01-02
30789,330789,2022-01-01
30790,330790,2021-12-31
30791,330791,2021-12-30
30792,330792,2021-12-29
30793,330793,2021-12-28
30794,330794,2021-12-27
30795,330795,2021-12-26
30796,330796,2021-12-25
30797,330797,2021-12-24
30798,330798,2021-12-23
30799,330799,2021-12-22
30800,330800,2021-12-21
30801,330801,2021-12-20
30802,330802,2021-12-19
30803,330803,2021-12-18
30804,330804,2021-12-17
30805,330805,2021-12-16
30806,330806,2021-12-15
30807,330807,2021-12-14
30808,330808,2021-12-13
30809,330809,2021-12-12
30810,330810,2021-12-11
30811,330811,2021-12-10
30812,330812,2021-12-09
30813,330813,2021-12-08
30814,330814,2021-12-07
30815,330815,2021-12-06
30816,330816,2021-12-05
30817,330817,2021-12-04
30818,330818,2021-12-03
30819,330819,2021-12-02
30820,330820,2021-12-01
30821,330821,2021-11-30
30822,330822,2021-11-29
30823,330823,2021-11-28
30824,330824,2021-11-27
30825,330825,2021-11-26
30826,330826,2021-11-25
30827,330827,2021-11-24
30828,330828,2021-11-23
30829,330829,2021-11-22
30830,330830,2021-11-21
30831,330831,2021-11-20
30832,330832,2021-11-19
30833,330833,2021-11-18
30834,330834,2021-11-17
30835,330835,2021-11-16
30836,330836,2021-11-15
30837,330837,2021-11-14
30838,330838,2021-11-13
30839,330839,2021-11-12
30840,330840,2021-11-11
30841,330841,2021-11-10
30842,330842,2021-11-09
30843,330843,2021-11-08
30844,330844,2021-11-07
30845,330845,2021-11-06
30846,330846,2021-11-05
30847,330847,2021-11-04
30848,330848,2021-11-03
30849,330849,2021-11-02
30850,330850,2021-11-01
30851,330851,2021-10-31
30852,330852,2021-10-30
30853,330853,2021-10-29
30854,330854,2021-10-28
30855,330855,2021-10-27
30856,330856,2021-10-26
30857,330857,2021-10-25
30858,330858,2021-10-24
30859,330859,2021-10-23
30860,330860,2021-10-22
30861,330861,2021-10-21
30862,330862,2021-10-20
30863,330863,2021-10-19
30864,330864,2021-10-18
30865,330865,2021-10-17
30866,330866,2021-10-16
30867,330867,2021-10-15
30868,330868,2021-10-14
30869,330869,2021-10-13
30870,330870,2021-10-12
30871,330871,2021-10-11
30872,330872,2021-10-10
30873,330873,2021-10-09
30874,330874,2021-10-08
30875,330875,2021-10-07
30876,330876,2021-10-06
30877,330877,2021-10-05
30878,330878,2021-10-04
30879,330879,2021-10-03
30880,330880,2021-10-02
30881,330881,2021-10-01
30882,330882,2021-09-30
30883,330883,2021-09-29
30884,330884,2021-09-28
30885,330885,2021-09-27
30886,330886,2021-09-26
30887,330887,2021-09-25
30888,330888,2021-09-24
30889,330889,2021-09-23
30890,330890,2021-09-22
30891,330891,2021-09-21
30892,330892,2021-09-20
30893,330893,2021-09-19
30894,330894,2021-09-18
30895,330895,2021-09-17
30896,330896,2021-09-16
30897,330897,2021-09-15
30898,330898,2021-09-14
30899,330899,2021-09-13
30900,330900,2021-09-12
30901,330901,2021-09-11
30902,330902,2021-09-10
30903,330903,2021-09-09
30904,330904,2021-09-08
30905,330905,2021-09-07
30906,330906,2021-09-06
30907,330907,2021-09-05
30908,330908,2021-09-04
30909,330909,2021-09-03
30910,330910,2021-09-02
30911,330911,2021-09-01
30912,330912,2021-08-31
30913,330913,2021-08-30
30914,330914,2021-08-29
30915,330915,2021-08-28
30916,330916,2021-08-27
30917,330917,2021-08-26
30918,330918,2021-08-25
30919,330919,2021-08-24
30920,330920,2021-08-23
30921,330921,2021-08-22
30922,330922,2021-08-21
30923,330923,2021-08-20
30924,330924,2021-08-19
30925,330925,2021-08-18
30926,330926,2021-08-17
30927,330927,2021-08-16
30928,330928,2021-08-15
30929,330929,2021-08-14
30930,330930,2021-08-13
30931,330931,2021-08-12
30932,330932,2021-08-11
30933,330933,2021-08-10
30934,330934,2021-08-09
30935,330935,2021-08-08
30936,330936,2021-08-07
30937,330937,2021-08-06
30938,330938,2021-08-05
30939,330939,2021-08-04
30940,330940,2021-08-03
30941,330941,2021-08-02
30942,330942,2021-08-01
30943,330943,2021-07-31
30944,330944,2021-07-30
30945,330945,2021-07-29
30946,330946,2021-07-28
30947,330947,2021-07-27
30948,330948,2021-07-26
30949,330949,2021-07-25
30950,330950,2021-07-24
30951,330951,2021-07-23
30952,330952,2021-07-22
30953,330953,2021-07-21
30954,330954,2021-07-20
30955,330955,2021-07-19
30956,330956,2021-07-18
30957,330957,2021-07-17
30958,330958,2021-07-16
30959,330959,2021-07-15
30960,330960,2021-07-14
30961,330961,2021-07-13
30962,330962,2021-07-12
30963,330963,2021-07-11
30964,330964,2021-07-10
30965,330965,2021-07-09
30966,330966,2021-07-08
30967,330967,2021-07-07
30968,330968,2021-07-06
30969,330969,2021-07-05
30970,330970,2021-07-04
30971,330971,2021-07-03
30972,330972,2021-07-02
30973,330973,2021-07-01
30974,330974,2021-06-30
30975,330975,2021-06-29
30976,330976,2021-06-28
30977,330977,2021-06-27
30978,330978,2021-06-26
30979,330979,2021-06-25
30980,330980,2021-06-24
30981,330981,2021-06-23
30982,330982,2021-06-22
30983,330983,2021-06-21
30984,330984,2021-06-20
30985,330985,2021-06-19
30986,330986,2021-06-18
30987,330987,2021-06-17
30988,330988,2021-06-16
30989,330989,2021-06-15
30990,330990,2021-06-14
30991,330991,2021-06-13
30992,330992,2021-06-12
30993,330993,2021-06-11
30994,330994,2021-06-10
30995,330995,2021-06-09
30996,330996,2021-06-08
30997,330997,2021-06-07
30998,330998,2021-06-06
30999,330999,2021-06-05
31000,331000,2021-06-04
31001,331001,2021-06-03
31002,331002,2021-06-02
31003,331003,2021-06-01
31004,331004,2021-05-31
31005,331005,2021-05-30
31006,331006,2021-05-29
31007,331007,2021-05-28
31008,331008,2021-05-27
31009,331009,2021-05-26
31010,331010,2021-05-25
31011,331011,2021-05-24
31012,331012,2021-05-23
31013,331013,2021-05-22
31014,331014,2021-05-21
31015,331015,2021-05-20
31016,331016,2021-05-19
31017,331017,2021-05-18
31018,331018,2021-05-17
31019,331019,2021-05-16
31020,331020,2021-05-15
31021,331021,2021-05-14
31022,331022,2021-05-13
31023,331023,2021-05-12
31024,331024,2021-05-11
31025,331025,2021-05-10
31026,331026,2021-05-09
31027,331027,2021-05-08
31028,331028,2021-05-07
31029,331029,2021-05-06
31030,331030,2021-05-05
31031,331031,2021-05-04
31032,331032,2021-05-03
31033,331033,2021-05-02
31034,331034,2021-05-01
31035,331035,2021-04-30
31036,331036,2021-04-29
31037,331037,2021-04-28
31038,331038,2021-04-27
31039,331039,2021-04-26
31040,331040,2021-04-25
31041,331041,2021-04-24
31042,331042,2021-04-23
31043,331043,2021-04-22
31044,331044,2021-04-21
31045,331045,2021-04-20
31046,331046,2021-04-19
31047,331047,2021-04-18
31048,331048,2021-04-17
31049,331049,2021-04-16
31050,331050,2021-04-15
31051,331051,2021-04-14
31052,331052,2021-04-13
31053,331053,2021-04-12
31054,331054,2021-04-11
31055,331055,2021-04-10
31056,331056,2021-04-09
31057,331057,2021-04-08
31058,331058,2021-04-07
31059,331059,2021-04-06
31060,331060,2021-04-05
31061,331061,2021-04-04
31062,331062,2021-04-03
31063,331063,2021-04-02
31064,331064,2021-04-01
31065,331065,2021-03-31
31066,331066,2021-03-30
31067,331067,2021-03-29
31068,331068,2021-03-28
31069,331069,2021-03-27
31070,331070,2021-03-26
31071,331071,2021-03-25
31072,331072,2021-03-24
31073,331073,2021-03-23
